Casio Standard Jam Tangan Wanita - Coklat - Kulit - LTP-V001GL-1B, RP 252.200
Swatch Jam Tangan Wanita - Putih - Strap Plastic - GB743, RP 607.220
Fossil ES2830 - Jam Tangan Wanita - Strap Leather, RP 1.035.598
Fossil ES3707 Jacqueline - Jam Tangan Wanita - Rose Gold - Strap Kulit Coklat, RP 1.228.500
Fossil - Jam Tangan Wanita - Rosegold-Rosegold - Rosegold Steel - AM 4483, RP 1.692.600
Casio Standard Orginal AQ-230A-7BMQ - Jam Tangan Wanita - Abu-abu - Stainless Steel, RP 408.000
Casio Standard AQ-230A-7DMQ - Jam Tangan Wanita - Abu-abu-Putih - Stainless Steel, RP 395.760
G-Shock Jam Tangan Wanita - GMA-S110MP-4A2 - Pink - Strap Resin, RP 1.653.000
Casio Digital Jam Tangan Wanita - Hitam - Strap Kulit - LA-670WL-1B, RP 336.703
Fossil AM4482 - Jam Tangan Wanita - Strap Stainless Steel, RP 1.765.308
Swatch Jam Tangan Wanita-SFB145 MY SILVER BLACK-Hitam, RP 1.636.300
Maybelline Wing It All Package Adele Wings - Package + Gratis Exclusive Bag, RP 299.000
Maybelline Wing It All Package Perfect Thin Line - Package + Gratis Exclusive Bag, RP 299.000
Maybelline Wing It All Package Line OF Drama - Package + Gratis Exclusive Bag, RP 299.000
Maybelline Super BB Cushion - 02, RP 161.100
Maybelline Volum Express Hyper Curl Mascara - Hitam, RP 45.100
Maybelline Hypersharp Liner - Power Black, RP 76.400
Maybelline Rosy Matte by Color Sensational - Soft Pink, RP 69.300
Maybelline Rosy Matte by Color Sensational - Apricot Beige, RP 69.300
Maybelline Vivid Matte by Color Sensational - Vivid 4 Rosy Orange -3.9 g, RP 57.400
Maybelline Lash Sensational Lash Multiplying Mascara, RP 90.400
Maybelline Rosy Matte by Color Sensational - Natural Beige, RP 69.300
Maybelline Color Sensational Bitten Lip Gradation RD01, RP 69.300
Maybelline Color Sensational Bitten Lip Gradation OR01, RP 69.300
Maybelline Vivid Matte by Color Sensational - Vivid 2 Neon Pink -3.9 g, RP 74.400
Maybelline Vivid Matte by Color Sensational - Vivid 1 Scarlet Red-3.9 g, RP 73.300
SK-II Pitera Trial Set FTE30+CL30+GENTLE 2O, RP 350.000
SK-II Facial Treatment Essence - 30 ml, RP 217.000
SK-II Facial Treatment Essence - FTE 10 ml - Original, RP 86.000
SK-II Facial Treatment Clear Lotion - 30ml, RP 76.000
SK-II Paket Pemula Medium, RP 380.000
SK-II R.N.A Power Radical New Age - 15 gr, RP 202.000
SK-II Stempower Eye Cream - 2.5 Gr, RP 86.000
SK-II Whitening Power Spot Specialist WPSS 0-7 ml - 3 Buah - Original, RP 105.000
SK-II LXP Ultimate Perfecting Essence - 10 ml, RP 75.000
SK-II Paket Lengkap + Repair C mini size, RP 233.750
SK-II Facial Treatment Gentle Cleanser - 20gr, RP 78.000
SK-II Paket Pemula Pelembab Cerah + Pelembab Mengencangkan Mini, RP 252.000
SK-II Facial Treatment Essence FTE  - 3 x 10ml , RP 209.000
SK-II Paket Mini 1 - Facial Treatment Essence 10ml- Gentle Cleanser 6gr, RP 115.000
SK-II Stempower Rich Cream - 15 Gr, RP 209.000
Zada Manset Gamis - Hitam, RP 42.700
Zada Set 3 in 1 Shoulder Bag - Maroon, RP 72.900
Zada Set 3 in 1 Bag - Tosca, RP 79.900
Zada Verani Croco Tote Bag - Hitam, RP 85.200
Zada Parka Jacket Waterproof - Hijau, RP 134.400
Zada Tote Bag with Mini Pouch - Pink, RP 52.900
Zada Verani Croco Tote Bag - Navy, RP 85.200
Zada Tote Bag Nylon - Hitam, RP 42.900
Zada 3 In 1 Tas Kerja Wanita - Cokelat, RP 149.000
Zada Verani Croco Tote Bag - Brown Coffee, RP 85.200
Swiss Army Mens Elegant - Hitam - Stainless/Kulit - SA 7169 BL RD + Gratis Swiss Army SA 1118, RP 209.000
Swiss Army Dual Time - Jam Tangan Pria - Strap Kulit - Coklat Muda - SA 702, RP 109.000
Youngpower Kunci Ring Pas Set 11 Buah, RP 161.910
Swiss Army Mens Elegant - Cokelat - Stainless/Kulit - SA 7169 BL DA BRW, RP 159.000
Swiss Army Dual Time - Jam Tangan Pria - Strap Kulit - Coklat Tua Variasi Merah - SA 0047, RP 109.800
Palazzo Tas Ransel Backpack 3in1 - Hitam, RP 121.000
Palazzo Tas Slempang Ipad 10 Inch - 39120 Hitam Premium, RP 72.500
Kitchen Set Koper - Pink, RP 189.000
Kogan Action Camera 1080p - 12MP - Putih, RP 295.000
Kogan Action Camera 4K UltraHD - 16MP - Putih - WIFI, RP 579.000
Tomindo Uno Stacko, RP 69.000
NUXE - Multi-Usage Dry Oil 100ml, RP 317.200
Maximo Kipas Angin Rechargeable Portabel Mini High Power BaterryBundle - Biru, RP 37.900
X-HD Card Sharp Knife - Pisau Lipat Kartu, RP 19.800
Eleven Tas Laptop + Gratis Raincover, RP 115.000
As Seen On Tv Wajan Lipat Anti Lengket - Folding Omelet Pan with Teflon Coat, RP 78.800
Casio Men's Edifice EFR523BK-1AV Black Stainless-Steel Quartz Watch with Black Dial, RP 854.000
Bestway Kasur Angin Single - Blue + Bestway Pompa 12", RP 185.000
Teckyo Speaker Aktif GMC Type 881 Super Bass, RP 134.000
Anne Anting Magnet - Hitam - 2 Pcs + BP0013 Anting Jepit - Rainbow - 2 Pcs, RP 42.500
CCTV Kamera Portable Micro SD, RP 198.000
BayiBanget Sprei Anti Ompol dan Muntah - Waterproof Sprei Polos Warna Biru Langit - 200 x 200 x 30 cm, RP 190.120
Kefir Organik - Active Soap - 85 gram, RP 42.000
Pixel99 Infuser Bottle 550 Ml - Black, RP 99.000
LED Senter XRB 1 Main LED dan 12 LED Lampu Tambahan, RP 44.000
SILVER SWAN - 080 Epona, RP 33.150
